timestamp,open,high,low,close,volume
2026-02-19 16:00:00-0500,24889.0,24905.0,24748.0,24782.25,645813
2026-02-19 20:00:00-0500,24782.0,24888.75,24777.0,24878.25,216124
2026-02-20 00:00:00-0500,24877.25,24936.0,24858.0,24890.0,90614
2026-02-20 04:00:00-0500,24890.25,24960.0,24885.25,24921.25,55222
2026-02-20 08:00:00-0500,24922.0,24985.25,24811.25,24829.0,113375
2026-02-20 12:00:00-0500,24829.25,25127.0,24677.0,25118.75,896009
2026-02-20 16:00:00-0500,25118.0,25139.75,24879.25,25022.5,884337
2026-02-20 20:00:00-0500,25023.0,25088.25,25013.75,25078.5,131580
2026-02-22 20:00:00-0500,25036.0,25059.25,24935.75,24973.0,53575
2026-02-23 00:00:00-0500,24971.75,24971.75,24810.75,24841.5,167189
2026-02-23 04:00:00-0500,24842.25,24914.5,24807.0,24898.0,72293
2026-02-23 08:00:00-0500,24898.5,25004.25,24877.25,24929.25,106112
2026-02-23 12:00:00-0500,24928.75,25040.0,24738.0,24744.0,733125
2026-02-23 16:00:00-0500,24743.75,24820.5,24667.75,24692.0,677595
2026-02-23 20:00:00-0500,24692.0,24824.75,24678.5,24788.25,206354
2026-02-24 00:00:00-0500,24789.0,24884.75,24772.75,24873.0,94892
2026-02-24 04:00:00-0500,24873.0,24890.25,24822.75,24832.75,60495
2026-02-24 08:00:00-0500,24833.75,24865.75,24761.0,24833.0,114913
2026-02-24 12:00:00-0500,24832.75,25031.25,24694.0,24976.25,807989
2026-02-24 16:00:00-0500,24976.25,25080.75,24969.25,25021.25,530130
2026-02-24 20:00:00-0500,25021.75,25071.75,24992.25,25044.25,168600
2026-02-25 00:00:00-0500,25044.25,25118.0,24995.0,25066.5,123135
2026-02-25 04:00:00-0500,25067.5,25068.25,25017.5,25036.0,59740
2026-02-25 08:00:00-0500,25036.25,25128.5,25036.25,25124.75,74894
2026-02-25 12:00:00-0500,25124.5,25361.0,25105.75,25294.75,618086
2026-02-25 16:00:00-0500,25295.0,25379.0,25281.5,25368.5,333931
2026-02-25 20:00:00-0500,25368.75,25495.0,25274.5,25316.5,248647
2026-02-26 00:00:00-0500,25316.25,25343.0,25264.75,25301.25,97411
2026-02-26 04:00:00-0500,25301.0,25365.0,25281.5,25347.5,53692
2026-02-26 08:00:00-0500,25348.0,25402.0,25338.0,25362.25,79100
2026-02-26 12:00:00-0500,25361.75,25415.5,24862.0,24999.75,985464
2026-02-26 16:00:00-0500,24999.0,25099.0,24888.75,25063.0,742903
2026-02-26 20:00:00-0500,25063.0,25093.75,24954.0,24996.25,228695
2026-02-27 00:00:00-0500,24995.75,25036.0,24954.75,25025.25,98664
2026-02-27 04:00:00-0500,25025.5,25079.0,24991.75,25073.25,62827
2026-02-27 08:00:00-0500,25073.0,25098.75,24928.75,24952.75,134601
2026-02-27 12:00:00-0500,24953.25,25017.5,24780.0,24983.0,837628
2026-02-27 16:00:00-0500,24983.25,25036.75,24873.5,24894.5,693768
